orientation x, orientation y, orientation z, accel x, accel y, accel z
0.038345296, 0.15009212, 0.04477204, -45.410156, 18.554688, 995.60547
0.02888614, 0.15297304, 0.046733312, -42.48047, 21.972656, 988.76953
0.020558279, 0.15139697, 0.050547004, -46.875, 35.64453, 995.1172
0.014815748, 0.15064213, 0.055486917, -47.36328, 27.832031, 978.02734
0.0077286474, 0.15157513, 0.055420946, -43.945313, 23.925781, 975.09766
-0.0014627762, 0.15404901, 0.052851915, -49.316406, 31.25, 976.5625
-0.0068021845, 0.15584499, 0.05885147, -42.96875, 29.785156, 974.6094
-0.010669283, 0.1589935, 0.05949441, -46.38672, 22.460938, 978.02734
-0.015516441, 0.16032483, 0.059719425, -38.085938, 31.738281, 969.2383
-0.019900098, 0.15805642, 0.05720217, -43.45703, 35.64453, 970.7031
-0.019774381, 0.16010658, 0.058923535, -45.410156, 30.761719, 967.77344
-0.019916996, 0.16387165, 0.05977923, -48.828125, 35.64453, 979.98047
-0.022399561, 0.16609934, 0.056947406, -44.921875, 23.4375, 978.02734
-0.023998491, 0.16995783, 0.05816336, -28.808594, 28.808594, 967.77344
-0.02263624, 0.16831024, 0.058844484, -37.597656, 21.484375, 984.8633
-0.02178637, 0.17002998, 0.056394856, -28.808594, 20.996094, 962.8906
-0.017819814, 0.1756163, 0.05573223, -30.273438, 19.042969, 966.7969
-0.013238499, 0.18119313, 0.053016305, -20.507813, 27.34375, 974.1211
-0.005538923, 0.1812478, 0.058365006, -16.113281, 16.601563, 973.14453
-0.00037604058, 0.1845463, 0.057609696, -37.597656, 31.738281, 978.5156
0.009074574, 0.18647178, 0.055107515, -28.808594, 15.136719, 975.09766
0.018495196, 0.18765885, 0.058260385, -30.761719, 16.113281, 979.98047
0.025865547, 0.18924487, 0.053381026, -26.855469, 22.949219, 983.39844
0.033616073, 0.19240394, 0.05725629, -31.738281, 20.996094, 989.7461
0.044369522, 0.19460645, 0.057034187, -25.390625, 18.554688, 987.79297
0.052448973, 0.19671747, 0.055134267, -33.203125, 18.554688, 994.1406
0.05998426, 0.19905601, 0.054057796, -40.039063, 9.765625, 994.1406
0.072182566, 0.19933654, 0.057811122, -39.0625, 4.8828125, 982.91016
0.08394089, 0.1967215, 0.061978273, -25.390625, 0.9765625, 998.53516
0.09067923, 0.20083512, 0.060632516, -26.855469, 1.953125, 988.28125
0.099945076, 0.20529924, 0.062677, -29.296875, 6.8359375, 1008.3008
0.11122864, 0.20167339, 0.06398004, -31.738281, 15.625, 995.1172
0.11926788, 0.20082356, 0.07057359, -28.320313, 8.7890625, 992.1875
0.122917965, 0.20679818, 0.07013174, -33.203125, 2.4414063, 1004.8828
0.12603615, 0.21110426, 0.07039159, -31.738281, 5.859375, 997.5586
0.13283768, 0.21054707, 0.07460892, -17.578125, 3.90625, 1008.3008
0.14117685, 0.20791008, 0.077927075, -37.109375, 23.925781, 1003.90625
0.14152744, 0.20841227, 0.076249935, -22.460938, 8.300781, 1018.0664
0.14301023, 0.21048257, 0.07573702, -30.273438, 19.53125, 998.0469
0.14514388, 0.20751698, 0.0769996, -44.433594, 15.625, 1024.9023
0.1473728, 0.20451652, 0.080248676, -22.949219, 24.414063, 1002.4414
0.14710493, 0.20771173, 0.07988515, -33.203125, 17.089844, 1008.3008
0.14825048, 0.20340186, 0.081472, -24.414063, 16.601563, 1014.16016
0.1474692, 0.20310773, 0.08215217, -20.507813, 23.925781, 1013.6719
0.1455264, 0.20380226, 0.079777636, -15.625, 23.4375, 1002.9297
0.14659566, 0.20152305, 0.08348251, -27.34375, 16.113281, 1009.27734
0.14599714, 0.20291647, 0.08430547, -25.390625, 15.136719, 1011.23047
0.1487558, 0.19805154, 0.08753012, -20.019531, 27.832031, 1006.34766
0.1513367, 0.19275789, 0.091071784, -24.414063, 36.132813, 998.0469
0.14983006, 0.1883668, 0.09582962, -28.320313, 26.855469, 1024.4141
0.15264235, 0.18800169, 0.10015167, -19.042969, 32.226563, 1012.20703
0.15512598, 0.18281849, 0.104677975, -21.972656, 22.949219, 1009.27734
0.15345408, 0.17960179, 0.10499085, -27.34375, 34.66797, 1013.6719
0.15153818, 0.17955436, 0.10613849, -22.949219, 23.925781, 1020.01953
0.15369168, 0.17645927, 0.11010057, -37.109375, 34.66797, 1012.6953
0.15412033, 0.17137274, 0.10895753, -26.855469, 29.296875, 1022.9492
0.1538634, 0.17097308, 0.11254495, -43.45703, 20.019531, 1021.4844
0.15512675, 0.171148, 0.110883154, -45.410156, 23.4375, 1032.2266
0.15751413, 0.16715117, 0.115246594, -40.039063, 52.246094, 1027.832
0.15824695, 0.16679941, 0.12030792, -35.64453, 31.738281, 1033.6914
0.15982166, 0.16851471, 0.11955806, -42.48047, 29.296875, 1032.7148
0.1655416, 0.16475919, 0.12672243, -33.691406, 22.949219, 1038.0859
0.17125094, 0.15924571, 0.12736876, -46.38672, 35.15625, 1034.668
0.17383273, 0.16140205, 0.12841308, -41.503906, 32.714844, 1033.6914
0.1742604, 0.16079381, 0.12751974, -38.085938, 26.855469, 1032.2266
0.17802915, 0.15929998, 0.12951152, -46.38672, 33.691406, 1037.1094
0.17952001, 0.15619713, 0.13096511, -41.015625, 33.203125, 1035.1563
0.1780834, 0.15724465, 0.1297879, -30.273438, 40.527344, 1036.6211
0.17908117, 0.15971233, 0.13127564, -43.945313, 48.339844, 1035.6445
0.18042701, 0.15788645, 0.13228716, -29.785156, 28.808594, 1029.7852
0.17926924, 0.15727407, 0.131426, -30.761719, 19.042969, 1043.457
0.17638046, 0.16133675, 0.12909864, -32.226563, 18.066406, 1039.0625
0.1768853, 0.16096959, 0.12778604, -36.132813, 21.484375, 1041.0156
0.17504825, 0.16073507, 0.12644733, -34.179688, 22.460938, 1029.2969
0.17397076, 0.16409758, 0.12578784, -20.507813, 18.066406, 1034.1797
0.17888714, 0.16445963, 0.12592123, -43.945313, 21.972656, 1031.25
0.1813916, 0.16519472, 0.12704952, -30.761719, 5.859375, 1017.08984
0.18049237, 0.16867174, 0.123792306, -22.949219, 16.601563, 1023.9258
0.18155643, 0.1736625, 0.12502587, -33.203125, 25.878906, 1030.7617
0.1828583, 0.1777851, 0.12673211, -20.019531, 8.7890625, 1024.4141
0.18215252, 0.17951141, 0.12633152, -26.855469, 5.3710938, 1020.9961
0.17945589, 0.18287496, 0.12685345, -28.320313, 2.9296875, 1027.3438
0.17931212, 0.185271, 0.12838691, -27.832031, 19.042969, 1019.53125
0.1814142, 0.18767866, 0.13035935, -23.925781, 8.7890625, 1025.8789
0.18003255, 0.19114238, 0.12858431, -18.066406, 10.253906, 1021.97266
0.17616986, 0.19608027, 0.12649368, -26.367188, 9.277344, 1023.9258
0.17431676, 0.19572772, 0.12834677, -27.832031, 14.6484375, 1015.625
0.17401186, 0.1961946, 0.1296045, -23.925781, 2.4414063, 1028.8086
0.17278858, 0.19689776, 0.12793814, -19.53125, 5.3710938, 1026.3672
