time, rot x, rot y, rot z, accel x, accel y, accel z
8.109376461, -1.70229, 2.389313, -1.6870229, 20.996094, 39.55078, 1006.83594
8.110742892, 2.8778627, -0.5496183, 1.3358779, 17.578125, 47.851563, 1014.16016
8.111970319, 0.26717559, 1.1755725, 0.22900763, 28.320313, 47.36328, 1015.1367
8.113188692, 1.0687023, 2.1526718, 3.3740458, 15.136719, 47.36328, 1002.9297
8.114437357, 1.4198474, 0.8015267, 1.6259542, 13.183594, 43.45703, 1010.7422
8.115641538, -2.1526718, 1.2061069, -0.022900764, 29.785156, 36.621094, 1014.64844
8.116863156, 1.5038168, 0.55725193, 3.5496182, 12.6953125, 53.222656, 1014.16016
8.118094664, -1.3664122, 0.19847329, 0.16793893, 18.554688, 48.828125, 1020.01953
8.119336253, 0.03816794, 1.9465649, 0.27480915, 17.578125, 46.38672, 1009.27734
8.120539222, 1.5267175, -1.0687023, 3.480916, 22.949219, 39.0625, 1004.39453
8.121764709, -2.1755726, 0.8778626, -1.5496184, 8.300781, 43.945313, 1014.64844
8.122990667, -1.0610687, 1.70229, -0.8778626, 12.6953125, 47.36328, 1019.04297
8.124311407, 2.129771, -0.610687, 1.5038168, 19.53125, 44.433594, 1023.4375
8.125511757, 1.1755725, -0.45801526, 0.5038168, 21.484375, 32.714844, 1012.20703
8.126741028, 0.49618322, 0.97709924, -0.8244275, 25.878906, 55.664063, 995.60547
8.127963099, 0.9465649, -4.4885497, 1.9541985, 3.90625, 40.039063, 1014.16016
8.12920817, -2.3664122, 4.1984735, -2, 11.71875, 40.527344, 1015.625
8.130416123, -1.3053435, 2.2519083, -0.03816794, 17.578125, 46.38672, 1010.7422
8.13163835, 0.52671754, -1.5267175, 2.1755726, 14.160156, 38.085938, 1026.8555
8.132868436, -1.8854961, 2.8931298, -0.35114503, 12.207031, 54.6875, 1006.83594
8.134091303, 1.9236641, 1.3435115, 2.053435, 23.4375, 37.597656, 1009.7656
8.135317853, 1.5954199, -1.6335878, 1.3587786, 22.949219, 47.851563, 1009.27734
8.136576642, -0.4427481, 1.038168, -0.9847328, 22.949219, 44.921875, 1009.27734
8.137766978, 1.610687, 0.13740458, 3.908397, 22.949219, 30.273438, 1009.27734
8.138987713, -2.7099237, 1.0992366, -2.7251909, 18.066406, 47.851563, 1005.8594
8.140296052, -0.8015267, 2.8778627, 2.259542, 18.554688, 46.38672, 1002.9297
8.141511295, -0.6870229, 0.8167939, -1.4885496, 16.113281, 53.710938, 1020.01953
8.142737965, 1.3129771, -1.2671756, 1.6793894, 13.671875, 39.0625, 1016.1133
8.143977642, -0.6335878, 2.0152671, -0.14503817, 23.925781, 39.55078, 1010.7422
8.145063957, 1.4961832, -0.4427481, 1.0076336, 17.089844, 34.66797, 1018.0664
8.146421403, 0.89312977, 0.9389313, 3.8854961, 16.601563, 37.109375, 1015.1367
8.147638728, -0.091603056, 1.259542, -0.06870229, 25.878906, 38.57422, 1004.39453
8.148890693, 1.1145039, -2.8396947, 1.8015267, 18.554688, 55.664063, 1012.6953
8.150115178, -1.1450381, 2.7862597, -0.8396947, 2.4414063, 38.57422, 1015.625
8.15131715, -2.1068702, 1.3206106, -1.129771, 13.183594, 37.597656, 1010.2539
8.15255348, 1.1755725, -1.091603, 1.1526718, 24.902344, 42.48047, 1003.41797
8.153813515, -1.4351145, 3.0229008, 0.45801526, 24.414063, 39.55078, 998.0469
8.154996749, 1.648855, -2.6717558, 1.8473282, 24.902344, 38.085938, 999.02344
8.156296368, 0.17557251, -1.2824427, 2.038168, 23.4375, 30.273438, 1003.90625
8.157514811, 1.8625954, -1.1450381, 1.8931298, 8.7890625, 36.132813, 1021.4844
8.158761486, 0.57251906, 1.6793894, -1.1755725, 29.296875, 41.503906, 1013.6719
